step,batch_index,action,target_value,power_alloc_sum,beam_alloc_sum,value,ongoing
0,0,"[31, 0, 3]",3.9088659286499023,1292.0,0.0,7.545618534088135,True
1,0,"[32, 0, 3]",5.840130805969238,1292.0,10.0,7.455235958099365,True
2,0,"[27, 0, 1]",6.136236190795898,1292.0,20.0,7.347574710845947,True
3,0,"[11, 0, 2]",2.94944167137146,1292.0,29.0,7.220557689666748,True
4,0,"[26, 2, 3]",7.192547798156738,1292.0,38.0,7.118411540985107,True
5,0,"[25, 2, 1]",7.897998332977295,1292.0,48.0,6.972474575042725,True
6,0,"[21, 0, 2]",9.403045654296875,1292.0,57.0,6.790407180786133,True
7,0,"[34, 0, 2]",11.549365043640137,1292.0,66.0,6.659680366516113,True
8,0,"[15, 2, 2]",10.68769645690918,1292.0,75.0,6.531703472137451,True
9,0,"[31, 1, 2]",14.5991849899292,1292.0,84.0,6.3295578956604,True
10,0,"[21, 2, 3]",15.436298370361328,1292.0,93.0,6.177887916564941,True
11,0,"[0, 0, 0]",19.06184196472168,1292.0,101.0,5.973452091217041,True
12,0,"[9, 0, 2]",20.822586059570312,1292.0,110.0,5.76739501953125,True
13,0,"[11, 2, 2]",22.055660247802734,1292.0,120.0,5.610907554626465,True
14,0,"[2, 0, 3]",24.072994232177734,1292.0,128.0,5.349478721618652,True
15,0,"[22, 2, 3]",25.07830238342285,1292.0,138.0,5.170744895935059,True
16,0,"[9, 2, 2]",27.00278663635254,1292.0,147.0,4.974310874938965,True
17,0,"[4, 0, 0]",27.949506759643555,1292.0,155.0,4.699188709259033,True
18,0,"[30, 0, 0]",29.666704177856445,1292.0,163.0,4.451752185821533,True
19,0,"[6, 0, 3]",30.20069122314453,1292.0,169.0,4.201266765594482,True
20,0,"[11, 2, 0]",31.63903045654297,1292.0,178.0,4.006226062774658,True
21,0,"[5, 0, 2]",31.51690101623535,1292.0,184.0,4.147329807281494,True
22,0,"[25, 2, 2]",30.725589752197266,1292.0,193.0,3.9588780403137207,True
23,0,"[7, 0, 3]",30.931554794311523,1292.0,201.0,4.116538047790527,True
24,0,"[21, 2, 2]",29.84221839904785,1292.0,210.0,3.9115982055664062,True
25,0,"[13, 0, 3]",29.88233184814453,1292.0,218.0,4.005015850067139,True
26,0,"[35, 2, 3]",32.496849060058594,1292.0,226.0,3.7842812538146973,True
27,0,"[36, 0, 3]",32.94965362548828,1292.0,235.0,3.522958755493164,True
28,0,"[7, 1, 1]",33.4057502746582,1292.0,244.0,3.3406567573547363,True
29,0,"[4, 2, 1]",33.293312072753906,1292.0,251.0,3.037130832672119,True
30,0,"[32, 1, 2]",32.80440902709961,1292.0,258.0,2.7401156425476074,True
31,0,"[12, 0, 2]",32.735530853271484,1292.0,266.0,2.490541458129883,True
32,0,"[6, 1, 2]",34.49357604980469,1292.0,271.0,2.3077144622802734,True
33,0,"[0, 2, 2]",36.960670471191406,1292.0,277.0,2.033889055252075,True
34,0,"[29, 0, 3]",37.3510627746582,1292.0,282.0,1.7768046855926514,True
35,0,"[37, 1, 0]",37.78825378417969,1292.0,289.0,1.546239972114563,True
36,0,"[15, 2, 0]",37.83799743652344,1292.0,296.0,1.0990405082702637,True
37,0,"[31, 1, 3]",38.068199157714844,1292.0,301.0,1.2966246604919434,True
38,0,"[2, 1, 2]",40.41067886352539,1292.0,307.0,1.3885762691497803,True
39,0,"[20, 1, 0]",39.521697998046875,1292.0,314.0,1.1693637371063232,True
40,0,"[10, 1, 2]",43.67219924926758,1292.0,321.0,0.7517483830451965,True
41,0,"[22, 2, 0]",44.62572479248047,1292.0,325.0,0.41796550154685974,True
42,0,"[19, 1, 0]",48.13499069213867,1292.0,328.0,0.5129185318946838,True
43,0,"[32, 0, 3]",48.16376876831055,1292.0,335.0,0.06915345042943954,True
44,0,"[6, 2, 3]",50.440433502197266,1292.0,339.0,-0.0029204285237938166,True
45,0,"[35, 1, 1]",50.854103088378906,1292.0,342.0,-0.23184578120708466,True
46,0,"[22, 2, 1]",51.782958984375,1292.0,345.0,-0.5960709452629089,True
47,0,"[6, 2, 2]",51.90681076049805,1292.0,348.0,-0.6859024167060852,True
48,0,"[25, 1, 3]",52.78609848022461,1292.0,354.0,-0.555539071559906,True
49,0,"[15, 1, 3]",52.187015533447266,1292.0,360.0,-0.9533032774925232,True
50,0,"[33, 0, 0]",51.139644622802734,1292.0,366.0,-1.3513872623443604,True
51,0,"[6, 1, 3]",51.32643127441406,1292.0,368.0,-1.6179438829421997,True
52,0,"[28, 2, 1]",52.12092208862305,1292.0,371.0,-1.505049467086792,True
53,0,"[28, 2, 2]",51.24677276611328,1292.0,375.0,-1.8595499992370605,True
54,0,"[11, 1, 2]",48.78565979003906,1292.0,378.0,-1.6487435102462769,True
55,0,"[20, 2, 2]",48.569419860839844,1292.0,383.0,-1.8864428997039795,True
56,0,"[9, 1, 2]",49.91959762573242,1292.0,387.0,-2.0717859268188477,True
57,0,"[11, 1, 2]",49.43845748901367,1292.0,391.0,-2.264467716217041,True
58,0,"[25, 2, 2]",49.31536865234375,1292.0,392.0,-2.0709474086761475,True
59,0,"[17, 2, 3]",0.0,1292.0,393.0,-2.125004768371582,False
60,0,"[29, 1, 2]",0.0,1292.0,396.0,-2.125004768371582,False
61,0,"[20, 1, 0]",0.0,1292.0,396.0,-2.125004768371582,False
62,0,"[38, 1, 1]",0.0,1292.0,398.0,-2.125004768371582,False
63,0,"[36, 1, 0]",0.0,1292.0,400.0,-2.125004768371582,False
64,0,"[1, 2, 3]",0.0,1292.0,400.0,-2.125004768371582,False
65,0,"[13, 1, 0]",0.0,1292.0,401.0,-2.125004768371582,False
66,0,"[28, 1, 1]",0.0,1292.0,403.0,-2.125005006790161,False
67,0,"[11, 1, 3]",0.0,1292.0,404.0,-2.125004768371582,False
68,0,"[31, 2, 0]",0.0,1292.0,406.0,-2.125005006790161,False
69,0,"[7, 2, 0]",0.0,1292.0,406.0,-2.125005006790161,False
70,0,"[35, 1, 1]",0.0,1292.0,407.0,-2.125004768371582,False
71,0,"[30, 1, 1]",0.0,1292.0,409.0,-2.1250052452087402,False
72,0,"[33, 1, 2]",0.0,1292.0,412.0,-2.125005006790161,False
73,0,"[26, 1, 1]",0.0,1292.0,414.0,-2.125005006790161,False
74,0,"[13, 1, 2]",0.0,1292.0,414.0,-2.125005006790161,False
75,0,"[20, 2, 0]",0.0,1292.0,417.0,-2.125004768371582,False
76,0,"[13, 0, 2]",0.0,1292.0,417.0,-2.125004768371582,False
77,0,"[30, 1, 1]",0.0,1292.0,418.0,-2.125004768371582,False
78,0,"[29, 2, 3]",0.0,1292.0,420.0,-2.125004768371582,False
79,0,"[36, 1, 2]",0.0,1292.0,422.0,-2.125004768371582,False
80,0,"[26, 1, 1]",0.0,1292.0,422.0,-2.125004768371582,False
81,0,"[3, 1, 3]",0.0,1292.0,423.0,-2.125004768371582,False
82,0,"[6, 1, 1]",0.0,1292.0,423.0,-2.125004768371582,False
83,0,"[4, 1, 1]",0.0,1292.0,424.0,-2.125004768371582,False
84,0,"[5, 0, 2]",0.0,1292.0,425.0,-2.125004768371582,False
85,0,"[16, 1, 0]",0.0,1292.0,426.0,-2.125004768371582,False
86,0,"[36, 1, 1]",0.0,1292.0,427.0,-2.125004768371582,False
87,0,"[26, 1, 3]",0.0,1292.0,427.0,-2.125004768371582,False
88,0,"[3, 1, 1]",0.0,1292.0,427.0,-2.125005006790161,False
89,0,"[15, 3, 3]",0.0,1292.0,428.0,-2.125004768371582,False
90,0,"[36, 0, 0]",0.0,1292.0,429.0,-2.125004768371582,False
91,0,"[4, 1, 3]",0.0,1292.0,429.0,-2.125004768371582,False
92,0,"[31, 2, 2]",0.0,1292.0,429.0,-2.125004768371582,False
