[Epoch 1 | Batch 1] Total IL loss: 3.4164
[Epoch 1 | Batch 2] Total IL loss: 2.6934
[Epoch 1 | Batch 3] Total IL loss: 2.3480
[Epoch 1 | Batch 4] Total IL loss: 2.6158
[Epoch 1 | Batch 5] Total IL loss: 2.5441
[Epoch 1 | Batch 6] Total IL loss: 2.3272
[Epoch 1 | Batch 7] Total IL loss: 2.2644
[Epoch 1 | Batch 8] Total IL loss: 2.2689
[Epoch 1 | Batch 9] Total IL loss: 2.1092
[Epoch 1 | Batch 10] Total IL loss: 2.0297
[Epoch 1 | Batch 11] Total IL loss: 1.9847
[Epoch 1 | Batch 12] Total IL loss: 1.8455
[Epoch 1 | Batch 13] Total IL loss: 1.8886
[Epoch 1 | Batch 14] Total IL loss: 1.7814
[Epoch 1 | Batch 15] Total IL loss: 1.9503
[Epoch 1 | Batch 16] Total IL loss: 1.7100
[Epoch 1 | Batch 17] Total IL loss: 1.6483
[Epoch 1 | Batch 18] Total IL loss: 1.9815
[Epoch 1 | Batch 19] Total IL loss: 1.8204
[Epoch 1 | Batch 20] Total IL loss: 1.8040
[Epoch 1 | Batch 21] Total IL loss: 1.7422
[Epoch 1 | Batch 22] Total IL loss: 1.6263
[Epoch 1 | Batch 23] Total IL loss: 1.7816
[Epoch 1 | Batch 24] Total IL loss: 1.5342
[Epoch 1 | Batch 25] Total IL loss: 1.6078
[Epoch 1 | Batch 26] Total IL loss: 1.6763
[Epoch 1 | Batch 27] Total IL loss: 1.6584
[Epoch 1 | Batch 28] Total IL loss: 1.5573
[Epoch 1 | Batch 29] Total IL loss: 1.5499
[Epoch 1 | Batch 30] Total IL loss: 1.5237
[Epoch 1 | Batch 31] Total IL loss: 1.6493
[Epoch 1 | Batch 32] Total IL loss: 1.5119
[Epoch 1 | Batch 33] Total IL loss: 1.4638
[Epoch 1 | Batch 34] Total IL loss: 1.4342
[Epoch 1 | Batch 35] Total IL loss: 1.4760
[Epoch 1 | Batch 36] Total IL loss: 1.4126
[Epoch 1 | Batch 37] Total IL loss: 1.1355
[Epoch 1 | Batch 38] Total IL loss: 1.2947
[Epoch 1 | Batch 39] Total IL loss: 1.4642
[Epoch 1 | Batch 40] Total IL loss: 1.4854
[Epoch 1 | Batch 41] Total IL loss: 1.4639
[Epoch 1 | Batch 42] Total IL loss: 1.4417
[Epoch 1 | Batch 43] Total IL loss: 1.2282
[Epoch 1 | Batch 44] Total IL loss: 1.5176
[Epoch 1 | Batch 45] Total IL loss: 1.5459
[Epoch 1 | Batch 46] Total IL loss: 1.4129
[Epoch 1 | Batch 47] Total IL loss: 1.3678
[Epoch 1 | Batch 48] Total IL loss: 1.4389
[Epoch 1 | Batch 49] Total IL loss: 1.4808
[Epoch 1 | Batch 50] Total IL loss: 1.2608
[Epoch 1 | Batch 51] Total IL loss: 1.4921
[Epoch 1 | Batch 52] Total IL loss: 1.1826
[Epoch 1 | Batch 53] Total IL loss: 1.3267
[Epoch 1 | Batch 54] Total IL loss: 1.4728
[Epoch 1 | Batch 55] Total IL loss: 1.2705
[Epoch 1 | Batch 56] Total IL loss: 1.4618
[Epoch 1 | Batch 57] Total IL loss: 1.3073
[Epoch 1 | Batch 58] Total IL loss: 1.4401
[Epoch 1 | Batch 59] Total IL loss: 1.5655
[Epoch 1 | Batch 60] Total IL loss: 1.3734
[Epoch 1 | Batch 61] Total IL loss: 1.4325
[Epoch 1 | Batch 62] Total IL loss: 1.3165
[Epoch 1 | Batch 63] Total IL loss: 1.5436
[Epoch 1 | Batch 64] Total IL loss: 1.5341
