[Epoch 1 | Batch 1] Total IL loss: 3.1018
[Epoch 1 | Batch 2] Total IL loss: 3.0347
[Epoch 1 | Batch 3] Total IL loss: 2.8055
[Epoch 1 | Batch 4] Total IL loss: 2.6889
[Epoch 1 | Batch 5] Total IL loss: 2.5554
[Epoch 1 | Batch 6] Total IL loss: 2.4502
[Epoch 1 | Batch 7] Total IL loss: 2.4621
[Epoch 1 | Batch 8] Total IL loss: 2.3171
[Epoch 1 | Batch 9] Total IL loss: 2.2022
[Epoch 1 | Batch 10] Total IL loss: 2.2706
[Epoch 1 | Batch 11] Total IL loss: 2.2224
[Epoch 1 | Batch 12] Total IL loss: 2.2123
[Epoch 1 | Batch 13] Total IL loss: 2.2373
[Epoch 1 | Batch 14] Total IL loss: 2.2491
[Epoch 1 | Batch 15] Total IL loss: 1.9740
[Epoch 1 | Batch 16] Total IL loss: 1.8366
[Epoch 1 | Batch 17] Total IL loss: 1.9411
[Epoch 1 | Batch 18] Total IL loss: 1.7938
[Epoch 1 | Batch 19] Total IL loss: 1.7940
[Epoch 1 | Batch 20] Total IL loss: 1.8192
[Epoch 1 | Batch 21] Total IL loss: 1.6804
[Epoch 1 | Batch 22] Total IL loss: 1.6765
[Epoch 1 | Batch 23] Total IL loss: 1.5644
[Epoch 1 | Batch 24] Total IL loss: 1.7620
[Epoch 1 | Batch 25] Total IL loss: 1.7717
[Epoch 1 | Batch 26] Total IL loss: 1.7085
[Epoch 1 | Batch 27] Total IL loss: 1.6951
[Epoch 1 | Batch 28] Total IL loss: 1.6531
[Epoch 1 | Batch 29] Total IL loss: 1.5582
[Epoch 1 | Batch 30] Total IL loss: 1.4470
[Epoch 1 | Batch 31] Total IL loss: 1.6002
[Epoch 1 | Batch 32] Total IL loss: 1.5539
[Epoch 1 | Batch 33] Total IL loss: 1.6731
[Epoch 1 | Batch 34] Total IL loss: 1.4717
[Epoch 1 | Batch 35] Total IL loss: 1.5899
[Epoch 1 | Batch 36] Total IL loss: 1.4822
[Epoch 1 | Batch 37] Total IL loss: 1.5993
[Epoch 1 | Batch 38] Total IL loss: 1.3704
[Epoch 1 | Batch 39] Total IL loss: 1.6571
[Epoch 1 | Batch 40] Total IL loss: 1.6009
[Epoch 1 | Batch 41] Total IL loss: 1.4359
[Epoch 1 | Batch 42] Total IL loss: 1.4119
[Epoch 1 | Batch 43] Total IL loss: 1.5113
[Epoch 1 | Batch 44] Total IL loss: 1.3937
[Epoch 1 | Batch 45] Total IL loss: 1.3962
[Epoch 1 | Batch 46] Total IL loss: 1.5536
[Epoch 1 | Batch 47] Total IL loss: 1.6508
[Epoch 1 | Batch 48] Total IL loss: 1.4969
[Epoch 1 | Batch 49] Total IL loss: 1.5949
[Epoch 1 | Batch 50] Total IL loss: 1.4805
[Epoch 1 | Batch 51] Total IL loss: 1.5645
[Epoch 1 | Batch 52] Total IL loss: 1.6206
[Epoch 1 | Batch 53] Total IL loss: 1.3040
[Epoch 1 | Batch 54] Total IL loss: 1.6031
[Epoch 1 | Batch 55] Total IL loss: 1.3032
[Epoch 1 | Batch 56] Total IL loss: 1.5342
[Epoch 1 | Batch 57] Total IL loss: 1.4165
[Epoch 1 | Batch 58] Total IL loss: 1.4901
[Epoch 1 | Batch 59] Total IL loss: 1.4304
[Epoch 1 | Batch 60] Total IL loss: 1.4042
[Epoch 1 | Batch 61] Total IL loss: 1.4466
[Epoch 1 | Batch 62] Total IL loss: 1.5014
[Epoch 1 | Batch 63] Total IL loss: 1.2702
[Epoch 1 | Batch 64] Total IL loss: 1.5205
[Epoch 1 | Batch 65] Total IL loss: 1.4121
[Epoch 1 | Batch 66] Total IL loss: 1.1827
[Epoch 1 | Batch 67] Total IL loss: 1.3118
[Epoch 1 | Batch 68] Total IL loss: 1.4722
[Epoch 1 | Batch 69] Total IL loss: 1.2444
[Epoch 1 | Batch 70] Total IL loss: 1.2754
[Epoch 1 | Batch 71] Total IL loss: 1.3958
[Epoch 1 | Batch 72] Total IL loss: 1.3401
[Epoch 1 | Batch 73] Total IL loss: 1.4397
[Epoch 1 | Batch 74] Total IL loss: 1.2934
[Epoch 1 | Batch 75] Total IL loss: 1.2288
[Epoch 1 | Batch 76] Total IL loss: 1.2697
[Epoch 1 | Batch 77] Total IL loss: 1.2779
[Epoch 1 | Batch 78] Total IL loss: 1.2727
[Epoch 1 | Batch 79] Total IL loss: 1.1652
[Epoch 1 | Batch 80] Total IL loss: 1.4320
[Epoch 1 | Batch 81] Total IL loss: 1.3205
[Epoch 1 | Batch 82] Total IL loss: 1.5119
[Epoch 1 | Batch 83] Total IL loss: 1.3165
[Epoch 1 | Batch 84] Total IL loss: 1.2117
[Epoch 1 | Batch 85] Total IL loss: 1.4344
[Epoch 1 | Batch 86] Total IL loss: 1.1504
[Epoch 1 | Batch 87] Total IL loss: 1.2589
[Epoch 1 | Batch 88] Total IL loss: 1.4518
[Epoch 1 | Batch 89] Total IL loss: 1.2763
[Epoch 1 | Batch 90] Total IL loss: 1.3269
[Epoch 1 | Batch 91] Total IL loss: 1.4789
[Epoch 1 | Batch 92] Total IL loss: 1.1228
[Epoch 1 | Batch 93] Total IL loss: 1.3699
[Epoch 1 | Batch 94] Total IL loss: 1.0909
[Epoch 1 | Batch 95] Total IL loss: 1.5302
[Epoch 1 | Batch 96] Total IL loss: 1.3296
[Epoch 1 | Batch 97] Total IL loss: 1.4454
[Epoch 1 | Batch 98] Total IL loss: 1.4026
